roomID,room_name,location,latitude,longitude,link,image_link
50599,포천 팔레스,경기 포천시 신읍동 248-2,37.9028885,127.1954299,https://www.goodchoice.kr/product/detail?ano=50599,//image.goodchoice.kr/resize_490x348/adimg_new/50599/142132/144e2d180289210e91965a74e230a2e0.jpg
50609,평창어울림펜션,강원 평창군 봉평면 흥정리 255-9,37.6342363,128.3496769,https://www.goodchoice.kr/product/detail?ano=50609,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/23/03/877143c3eacdbc8a4aa4e2db175d7707.jpg
50611,나주 벌꿀호텔,전남 나주시 삼영동 173-2,35.0060393,126.7099229,https://www.goodchoice.kr/product/detail?ano=50611,//image.goodchoice.kr/resize_490x348/adimg_new/50611/142136/b9b485dba561b8707ead81aa2b6b6cd3.jpg
50620,양양 파니아토,강원 양양군 손양면 동호리 1-24,38.0580045,128.6826283,https://www.goodchoice.kr/product/detail?ano=50620,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/28/5a9645bc24f94.jpg
50623,에버그린,충남 태안군 안면읍 승언리 1968,36.5069498,126.3434977,https://www.goodchoice.kr/product/detail?ano=50623,//image.goodchoice.kr/resize_490x348/affiliate/2018/04/24/5aded5383b530.jpg
50629,군산 링스,전북 군산시 장미동 14-7,35.9872138,126.7149378,https://www.goodchoice.kr/product/detail?ano=50629,//image.goodchoice.kr/resize_490x348/adimg_new/50629/141846/a7c6f8f5937cc33c63facaa66892f848.jpg
50630,춘천 드라이브인 호텔 초콜릿,강원 춘천시 삼천동 180-5,37.8704786,127.6997567,https://www.goodchoice.kr/product/detail?ano=50630,//image.goodchoice.kr/resize_490x348/adimg_new/50630/142279/5a4033a4133df72df4bce45fb194768d.jpg
50632,스플라스 리솜(덕산),충남 예산군 덕산면 사동리 361,36.6940874,126.6558404,https://www.goodchoice.kr/product/detail?ano=50632,//image.goodchoice.kr/resize_490x348/affiliate/2019/07/30/5d3f95e4451c5.jpg
50633,아일랜드 리솜(안면도),충남 태안군 안면읍 중장리 765-81,36.4866369,126.3832622,https://www.goodchoice.kr/product/detail?ano=50633,//image.goodchoice.kr/resize_490x348/affiliate/2020/07/30/5f223610c68f4.jpg
50634,24게스트하우스 여수점,전남 여수시 공화동 657 　,34.7474762,127.7448498,https://www.goodchoice.kr/product/detail?ano=50634,//image.goodchoice.kr/resize_490x348/adimg_new/50634/0/28a8f93cf20af576af3b351800dfd392.jpg
50636,천호 테마,서울 강동구 천호동 354-5,37.5419639,127.1243165,https://www.goodchoice.kr/product/detail?ano=50636,//image.goodchoice.kr/resize_490x348/adimg_new/50636/142182/534bfcb8e14efe19f53ae9a19cb52ca8.jpg
50647,경주 평관헌,경상북도 경주시 진현동 651-12 2F,35.7853384,129.3258245,https://www.goodchoice.kr/product/detail?ano=50647,//image.goodchoice.kr/resize_490x348/adimg_new/50647/0/95e4cb7b0e7eca86d5b923dbd046e067.jpg
50650,여수 정 게스트하우스,전라남도 여수시 서교동 66-1  　,34.7443798,127.7286978,https://www.goodchoice.kr/product/detail?ano=50650,//image.goodchoice.kr/resize_490x348/adimg_new/50650/0/a93d8f70ce87c16765c0de372dabc02f.JPG
50654,이천 호텔 봄,경기 이천시 마장면 이평리 368-8,37.2229797,127.3690442,https://www.goodchoice.kr/product/detail?ano=50654,//image.goodchoice.kr/resize_490x348/adimg_new/50654/8150/dabd5efe0cb09267183e7907a8a9f9ee.jpg
50656,클레르드륀 펜션,제주특별자치도 제주시 애월읍 고내리 565-1,33.4660478,126.3402974,https://www.goodchoice.kr/product/detail?ano=50656,//image.goodchoice.kr/resize_490x348/affiliate/2019/07/05/5d1f44a308a7a.jpg
50657,제주 월정리바다별 펜션,제주특별자치도 제주시 구좌읍 월정리 307,33.5523523,126.7913136,https://www.goodchoice.kr/product/detail?ano=50657,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/14/5a83979c55484.jpg
50658,논산 젠 모텔,충남 논산시 연무읍 동산리 764-1,36.1391928,127.1094096,https://www.goodchoice.kr/product/detail?ano=50658,//image.goodchoice.kr/resize_490x348/adimg_new/50658/142865/e3a92a70023b8459e138a3cbaad55f33.jpg
50660,무안 더케이,전남 무안군 무안읍 성동리 621-1,34.9924151,126.4809073,https://www.goodchoice.kr/product/detail?ano=50660,//image.goodchoice.kr/resize_490x348/adimg_new/50660/142774/7877dcb8e822aa052a0aef5be04de6d5.jpg
50661,진천 쥬얼리 무인텔,충북 진천군 광혜원면 금곡리 629-3,36.9664602,127.4369549,https://www.goodchoice.kr/product/detail?ano=50661,//image.goodchoice.kr/resize_490x348/adimg_new/50661/142247/f50b4ed972d61234039691571144d00f.jpg
50663,월미도 스텔라마리스 호텔,인천 중구 북성동1가 98-24,37.4769545,126.6004497,https://www.goodchoice.kr/product/detail?ano=50663,//image.goodchoice.kr/resize_490x348/adimg_new/50663/142126/fa74f5f65f0f3760452952166f5fdc70.jpg
50667,대천 코코넛 모텔,충남 보령시 신흑동 2002,36.305165,126.5178443,https://www.goodchoice.kr/product/detail?ano=50667,//image.goodchoice.kr/resize_490x348/adimg_new/50667/154521/defa66558c22a501af3de874c865ebdf.jpg
